DistInstID,SchlYr,CntyNm,DistNm,BldgNm,DistStudCnt,YrBlt,YrRemod,SqFt,DistSqFt,last column
2139,"7/1/2000","MARION","Cascade SD 5","TURNER ELEMENTARY",2199,1929,,25378,339324,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","MOUNTAIN VIEW ELEMENTARY (PORTABLE B)",7293,1988,,1100,1153634,-
2053,"7/1/2001","JEFFERSON","JEFFERSON CO SCH DIST 509J","WARM SPRINGS ELEM MODULAR CLSRMS 2",3082,1984,1994,3200,462391,-
2053,"7/1/2001","JEFFERSON","JEFFERSON CO SCH DIST 509J","WARM SPRINGS ELEM MODULAR CLSRMS 3",3082,1990,1994,1600,462391,-
2053,"7/1/2001","JEFFERSON","JEFFERSON CO SCH DIST 509J","WARM SPRINGS ELEM MODULAR CLSRMS 4",3082,1994,,1900,462391,-
2043,"7/1/2001","JACKSON","Eagle Point SD 9","Options EPHS",4016,1945,2001,7024,563292,-
2187,"7/1/2001","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","OLD CENTRAL OFFICE",8536,1926,,25642,1102554,-
2044,"7/1/2001","JACKSON","Rogue River SD 35","ROGUE RIVER MIDDLE modular",1238,1998,,896,176227,-
2191,"7/1/2001","POLK","CENTRAL SCH DIST 13J","Ash Creek Intermediate School",2628,2002,,57000,414749,-
2183,"7/1/2001","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","Hogan Cedars Elementary",11632,2002,2002,66000,1681568,-
2183,"7/1/2001","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","Springwater Trail High School",11632,2002,2002,29000,1681568,-
2183,"7/1/2001","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","Central Administration",11632,1970,1990,10000,1681568,-
2187,"7/1/2001","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","MAINTENANCE SHOP",8536,1960,,6970,1102554,-
2187,"7/1/2001","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","BUS GARAGE",8536,1971,,6380,1102554,-
2187,"7/1/2001","MULTNOMAH","DAVID DOUGLAS SCH DIST 40","POOL BUILDING",8536,1960,1996,31142,1102554,-
2183,"7/1/2001","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","Dexter McCarty Portables (8)",11632,1982,1990,5688,1681568,-
2183,"7/1/2001","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","East Gresham Portable (2)",11632,1988,1988,1560,1681568,-
